No checkpoint found, starting fresh training
Epoch [138/200], Train Loss: 0.4607, Train Accuracy: 0.7891, Val Loss: 0.4697, Val Accuracy: 0.7920, Time Taken: 418.31s
Epoch [139/200], Train Loss: 0.4735, Train Accuracy: 0.7757, Val Loss: 0.4595, Val Accuracy: 0.7983, Time Taken: 432.67s
Epoch [140/200], Train Loss: 0.4786, Train Accuracy: 0.7809, Val Loss: 0.4555, Val Accuracy: 0.7941, Time Taken: 430.90s
Epoch [141/200], Train Loss: 0.4728, Train Accuracy: 0.7788, Val Loss: 0.4853, Val Accuracy: 0.7710, Time Taken: 419.44s
Epoch [142/200], Train Loss: 0.4519, Train Accuracy: 0.7888, Val Loss: 0.4678, Val Accuracy: 0.7899, Time Taken: 419.43s
Epoch [143/200], Train Loss: 0.4578, Train Accuracy: 0.7788, Val Loss: 0.4699, Val Accuracy: 0.7878, Time Taken: 427.07s
Epoch [144/200], Train Loss: 0.4732, Train Accuracy: 0.7770, Val Loss: 0.4953, Val Accuracy: 0.7773, Time Taken: 420.45s
Epoch [145/200], Train Loss: 0.4769, Train Accuracy: 0.7744, Val Loss: 0.4929, Val Accuracy: 0.7878, Time Taken: 424.90s
Epoch [146/200], Train Loss: 0.4669, Train Accuracy: 0.7752, Val Loss: 0.4915, Val Accuracy: 0.7773, Time Taken: 422.89s
Epoch [147/200], Train Loss: 0.4646, Train Accuracy: 0.7783, Val Loss: 0.4783, Val Accuracy: 0.7815, Time Taken: 420.54s
Epoch [148/200], Train Loss: 0.4650, Train Accuracy: 0.7738, Val Loss: 0.4745, Val Accuracy: 0.7920, Time Taken: 420.83s
Epoch [149/200], Train Loss: 0.4676, Train Accuracy: 0.7723, Val Loss: 0.4651, Val Accuracy: 0.7962, Time Taken: 420.82s
Epoch [150/200], Train Loss: 0.4676, Train Accuracy: 0.7807, Val Loss: 0.4479, Val Accuracy: 0.7983, Time Taken: 420.03s
Epoch [151/200], Train Loss: 0.4700, Train Accuracy: 0.7773, Val Loss: 0.4668, Val Accuracy: 0.8004, Time Taken: 432.45s
Epoch [152/200], Train Loss: 0.4690, Train Accuracy: 0.7765, Val Loss: 0.4808, Val Accuracy: 0.7731, Time Taken: 420.40s
Epoch [153/200], Train Loss: 0.4607, Train Accuracy: 0.7807, Val Loss: 0.4645, Val Accuracy: 0.7836, Time Taken: 438.69s
Epoch [154/200], Train Loss: 0.4538, Train Accuracy: 0.7899, Val Loss: 0.4611, Val Accuracy: 0.8025, Time Taken: 420.32s
Epoch [155/200], Train Loss: 0.4674, Train Accuracy: 0.7757, Val Loss: 0.4949, Val Accuracy: 0.7752, Time Taken: 424.42s
Epoch [156/200], Train Loss: 0.4650, Train Accuracy: 0.7825, Val Loss: 0.4741, Val Accuracy: 0.7899, Time Taken: 422.22s
Epoch [157/200], Train Loss: 0.4695, Train Accuracy: 0.7780, Val Loss: 0.5014, Val Accuracy: 0.7794, Time Taken: 423.82s
Epoch [158/200], Train Loss: 0.4674, Train Accuracy: 0.7815, Val Loss: 0.4644, Val Accuracy: 0.7794, Time Taken: 423.95s
Epoch [159/200], Train Loss: 0.4704, Train Accuracy: 0.7759, Val Loss: 0.4859, Val Accuracy: 0.7731, Time Taken: 428.12s
Epoch [160/200], Train Loss: 0.4677, Train Accuracy: 0.7838, Val Loss: 0.4646, Val Accuracy: 0.7752, Time Taken: 419.72s
Epoch [161/200], Train Loss: 0.4729, Train Accuracy: 0.7770, Val Loss: 0.4928, Val Accuracy: 0.7668, Time Taken: 424.38s
Epoch [162/200], Train Loss: 0.4602, Train Accuracy: 0.7864, Val Loss: 0.4651, Val Accuracy: 0.7857, Time Taken: 424.28s
Epoch [163/200], Train Loss: 0.4707, Train Accuracy: 0.7786, Val Loss: 0.4682, Val Accuracy: 0.7794, Time Taken: 431.84s
Epoch [164/200], Train Loss: 0.4741, Train Accuracy: 0.7825, Val Loss: 0.4701, Val Accuracy: 0.7857, Time Taken: 423.38s
Epoch [165/200], Train Loss: 0.4616, Train Accuracy: 0.7859, Val Loss: 0.4668, Val Accuracy: 0.7920, Time Taken: 425.71s
Epoch [166/200], Train Loss: 0.4628, Train Accuracy: 0.7809, Val Loss: 0.4519, Val Accuracy: 0.7857, Time Taken: 429.46s
Epoch [167/200], Train Loss: 0.4724, Train Accuracy: 0.7741, Val Loss: 0.4922, Val Accuracy: 0.7626, Time Taken: 426.01s
