Epoch [104/200], Train Loss: 0.0307, Train Accuracy: 0.9898, Val Loss: 0.0934, Val Accuracy: 0.9727, Time Taken: 270.84s
Epoch [105/200], Train Loss: 0.0322, Train Accuracy: 0.9898, Val Loss: 0.0976, Val Accuracy: 0.9622, Time Taken: 296.14s
Epoch [106/200], Train Loss: 0.0379, Train Accuracy: 0.9895, Val Loss: 0.1051, Val Accuracy: 0.9706, Time Taken: 306.61s
Epoch [107/200], Train Loss: 0.0305, Train Accuracy: 0.9892, Val Loss: 0.0947, Val Accuracy: 0.9664, Time Taken: 301.80s
Epoch [108/200], Train Loss: 0.0378, Train Accuracy: 0.9879, Val Loss: 0.0895, Val Accuracy: 0.9643, Time Taken: 329.05s
Epoch [109/200], Train Loss: 0.0353, Train Accuracy: 0.9892, Val Loss: 0.0970, Val Accuracy: 0.9601, Time Taken: 465.15s
Epoch [110/200], Train Loss: 0.0321, Train Accuracy: 0.9882, Val Loss: 0.0978, Val Accuracy: 0.9643, Time Taken: 435.01s
Epoch [111/200], Train Loss: 0.0368, Train Accuracy: 0.9890, Val Loss: 0.0955, Val Accuracy: 0.9601, Time Taken: 408.34s
Epoch [112/200], Train Loss: 0.0377, Train Accuracy: 0.9869, Val Loss: 0.0989, Val Accuracy: 0.9706, Time Taken: 297.59s
Epoch [113/200], Train Loss: 0.0375, Train Accuracy: 0.9866, Val Loss: 0.0523, Val Accuracy: 0.9811, Time Taken: 287.98s
Epoch [114/200], Train Loss: 0.0333, Train Accuracy: 0.9882, Val Loss: 0.1011, Val Accuracy: 0.9685, Time Taken: 290.37s
Epoch [115/200], Train Loss: 0.0273, Train Accuracy: 0.9913, Val Loss: 0.0877, Val Accuracy: 0.9706, Time Taken: 277.02s
Epoch [116/200], Train Loss: 0.0353, Train Accuracy: 0.9887, Val Loss: 0.0965, Val Accuracy: 0.9559, Time Taken: 278.18s
Epoch [117/200], Train Loss: 0.0335, Train Accuracy: 0.9890, Val Loss: 0.0816, Val Accuracy: 0.9727, Time Taken: 295.13s
Epoch [118/200], Train Loss: 0.0308, Train Accuracy: 0.9890, Val Loss: 0.0889, Val Accuracy: 0.9727, Time Taken: 289.65s
Epoch [119/200], Train Loss: 0.0323, Train Accuracy: 0.9895, Val Loss: 0.0800, Val Accuracy: 0.9748, Time Taken: 274.96s
Epoch [120/200], Train Loss: 0.0300, Train Accuracy: 0.9913, Val Loss: 0.1082, Val Accuracy: 0.9559, Time Taken: 291.39s
Epoch [121/200], Train Loss: 0.0321, Train Accuracy: 0.9892, Val Loss: 0.1039, Val Accuracy: 0.9622, Time Taken: 274.87s
Epoch [122/200], Train Loss: 0.0347, Train Accuracy: 0.9871, Val Loss: 0.1062, Val Accuracy: 0.9601, Time Taken: 279.29s
Epoch [123/200], Train Loss: 0.0343, Train Accuracy: 0.9900, Val Loss: 0.1000, Val Accuracy: 0.9685, Time Taken: 277.42s
Epoch [124/200], Train Loss: 0.0315, Train Accuracy: 0.9900, Val Loss: 0.0933, Val Accuracy: 0.9706, Time Taken: 274.16s
Epoch [125/200], Train Loss: 0.0343, Train Accuracy: 0.9869, Val Loss: 0.0854, Val Accuracy: 0.9664, Time Taken: 275.33s
Epoch [126/200], Train Loss: 0.0354, Train Accuracy: 0.9879, Val Loss: 0.0726, Val Accuracy: 0.9664, Time Taken: 278.32s
Epoch [127/200], Train Loss: 0.0307, Train Accuracy: 0.9905, Val Loss: 0.0911, Val Accuracy: 0.9664, Time Taken: 277.92s
Epoch [128/200], Train Loss: 0.0316, Train Accuracy: 0.9898, Val Loss: 0.0890, Val Accuracy: 0.9706, Time Taken: 278.65s
Epoch [129/200], Train Loss: 0.0346, Train Accuracy: 0.9905, Val Loss: 0.1002, Val Accuracy: 0.9685, Time Taken: 281.57s
Epoch [130/200], Train Loss: 0.0362, Train Accuracy: 0.9890, Val Loss: 0.0913, Val Accuracy: 0.9727, Time Taken: 269.51s
Epoch [131/200], Train Loss: 0.0334, Train Accuracy: 0.9890, Val Loss: 0.1001, Val Accuracy: 0.9706, Time Taken: 279.46s
Epoch [132/200], Train Loss: 0.0335, Train Accuracy: 0.9895, Val Loss: 0.0996, Val Accuracy: 0.9664, Time Taken: 275.27s
Epoch [133/200], Train Loss: 0.0315, Train Accuracy: 0.9921, Val Loss: 0.0963, Val Accuracy: 0.9706, Time Taken: 274.00s
Epoch [134/200], Train Loss: 0.0316, Train Accuracy: 0.9903, Val Loss: 0.1089, Val Accuracy: 0.9601, Time Taken: 266.10s
Epoch [135/200], Train Loss: 0.0316, Train Accuracy: 0.9892, Val Loss: 0.1029, Val Accuracy: 0.9685, Time Taken: 270.86s
Epoch [136/200], Train Loss: 0.0350, Train Accuracy: 0.9879, Val Loss: 0.0993, Val Accuracy: 0.9622, Time Taken: 272.53s
Epoch [137/200], Train Loss: 0.0296, Train Accuracy: 0.9884, Val Loss: 0.1158, Val Accuracy: 0.9643, Time Taken: 276.00s
Epoch [138/200], Train Loss: 0.0302, Train Accuracy: 0.9887, Val Loss: 0.1428, Val Accuracy: 0.9559, Time Taken: 269.74s
Epoch [139/200], Train Loss: 0.0333, Train Accuracy: 0.9884, Val Loss: 0.1133, Val Accuracy: 0.9643, Time Taken: 295.58s
